MonitoringLocationIdentifier,DataSourceOrganizationIdentifier,StatisticsDate,AVGAtzPPB,CNTAtzSamp,FlowCFSDayAvg
OH_NCWQR_ROCK CREEK,Heidelberg,12-Apr-1983,0.211,1,39.05
OH_NCWQR_ROCK CREEK,Heidelberg,19-Apr-1983,0.025,1,8.56
